id,english,dwarf,elf,goblin,human,disambig,pos,noun,verb
1,abbey,kulet,cebela,xenmu,nithros,,noun,singular,
2,abbeys,kulet,cebela,xenmu,nithros,,noun,plural,
3,ace,alak,adi,ogo,ilpi,,noun,singular,
4,aces,alak,adi,ogo,ilpi,,noun,plural,
5,ace,alak,adi,ogo,ilpi,,adjective,,
6,act,bidok,aró,lâsm,use,,noun,singular,
7,acts,bidok,aró,lâsm,use,,noun,plural,
8,act,bidok,aró,lâsm,use,,verb,,present 1st person
9,acts,bidok,aró,lâsm,use,,verb,,present 3rd person
10,acted,bidok,aró,lâsm,use,,verb,,preterite
11,acted,bidok,aró,lâsm,use,,verb,,past participle
12,acting,bidok,aró,lâsm,use,,verb,,present participle
13,after,nicol,ifife,lûbu,agtha,,prefix,,
14,age,anam,eyo,abo,thad,,noun,singular,
15,ages,anam,eyo,abo,thad,,noun,plural,
16,age,anam,eyo,abo,thad,,verb,,present 1st person
17,ages,anam,eyo,abo,thad,,verb,,present 3rd person
18,aged,anam,eyo,abo,thad,,verb,,preterite
19,aged,anam,eyo,abo,thad,,verb,,past participle
20,aging,anam,eyo,abo,thad,,verb,,present participle
21,ageless,gatal,datha,usnusp,rom,,adjective,,
22,ale,mabdug,warerè,ngub,kasmko,,noun,singular,
23,ales,mabdug,warerè,ngub,kasmko,,noun,plural,
24,ancient,zustash,fathinu,ekxox,woge,,noun,singular,
25,ancients,zustash,fathinu,ekxox,woge,,noun,plural,
26,ancient,zustash,fathinu,ekxox,woge,,adjective,,
27,angel,sedil,thili,asmuk,idla,,noun,singular,
28,angels,sedil,thili,asmuk,idla,,noun,plural,
29,angelic,sedil,thili,asmuk,idla,,adjective,,
30,anger,ustos,fomire,ok,othag,,noun,singular,
31,angers,ustos,fomire,ok,othag,,noun,plural,
32,angry,ustos,fomire,ok,othag,,adjective,,
33,animal,emär,fela,slulasp,dik,,noun,singular,
34,animals,emär,fela,slulasp,dik,,noun,plural,
35,ape,izeg,aweme,ozse,tunem,,noun,singular,
36,apes,izeg,aweme,ozse,tunem,,noun,plural,
37,apple,bemòng,fena,slusna,ramet,,noun,singular,
38,apples,bemòng,fena,slusna,ramet,,noun,plural,
39,arch,gost,ÿaniye,sasne,icmon,,prefix,,
40,arm,öntak,atho,odu,ozi,,noun,singular,
41,arms,öntak,atho,odu,ozi,,noun,plural,
